school_name,urn,borough,lsoa_code,lsoa_name,lon,lat,primary_secondary,school_type,admissions_type,gender,denomination,num_pupils,num_boys,num_girls,boy_girl_r,pupils_per_teacher,pct_esl,pct_fsm,pct_attainment,pct_absences,pct_unaut_absence,mean_distance,income_score,employment_score,crime_score,education_skills_score,health_score,ofsted
Village Infants' School,101223,Barking and Dagenham,E01000085,Barking and Dagenham 013E,0.152608279,51.53871324,Primary,Community school,Not applicable,Mixed,No religious character,310,150,160,0.9,17.7,0.631,0.235,NA,0.0597644,0.0138511,NA,0.189,0.124,1.036,36.259,-0.227,3
Marks Gate Junior School,101224,Barking and Dagenham,E01000027,Barking and Dagenham 001A,0.135867669,51.58588104,Primary,Community school,Not applicable,Mixed,No religious character,327,160,165,1,19.2,0.579,0.303,0.63,0.0666626,0.0149563,0.927122087,0.216,0.146,1.042,38.122,0.148,2
William Bellamy Primary School,101226,Barking and Dagenham,E01000060,Barking and Dagenham 006B,0.154352571,51.5591673,Primary,Community school,Not applicable,Mixed,No religious character,1072,535,535,1,21,0.22,0.282,0.66,0.0611484,0.0217501,1.122979273,0.202,0.129,1.109,25.54,0.282,2
Parsloes Primary School,101227,Barking and Dagenham,E01000013,Barking and Dagenham 013A,0.144345816,51.5436398,Primary,Community school,Not applicable,Mixed,No religious character,572,295,280,1.1,19.7,0.477,0.205,0.68,0.0503876,0.0107174,0.99288493,0.213,0.145,1.199,24.003,0.67,3
Five Elms Primary School,101228,Barking and Dagenham,E01000063,Barking and Dagenham 004A,0.145389223,51.55509573,Primary,Community school,Not applicable,Mixed,No religious character,529,280,250,1.1,17.5,0.629,0.22,0.67,0.0664569,0.030386,0.845292124,0.181,0.124,0.342,37.624,0.286,2
Henry Green Primary School,101229,Barking and Dagenham,E01000097,Barking and Dagenham 023C,0.127699724,51.56182939,Primary,Community school,Not applicable,Mixed,No religious character,463,250,210,1.2,14.4,0.653,0.253,0.73,0.0459477,0.019904,0.651764549,0.223,0.131,0.468,32.926,0.808,3
Roding Primary School,101230,Barking and Dagenham,E01000077,Barking and Dagenham 008F,0.12626729,51.54936433,Primary,Community school,Not applicable,Mixed,No religious character,1186,615,570,1.1,17.8,0.452,0.2,0.62,0.0515929,0.0179909,1.315610585,0.251,0.159,0.487,33.494,0.725,2
Becontree Primary School,101231,Barking and Dagenham,E01000019,Barking and Dagenham 023A,0.117411063,51.55682657,Primary,Community school,Not applicable,Mixed,No religious character,495,270,225,1.2,17.9,0.574,0.21,0.75,0.0555926,0.0154381,0.81701271,0.194,0.138,0.645,26.111,0.477,2
John Perry Primary School,101232,Barking and Dagenham,E01000107,Barking and Dagenham 010C,0.170876494,51.5419829,Primary,Community school,Not applicable,Mixed,No religious character,554,280,275,1,17.6,0.701,0.187,0.56,0.0691147,0.0328811,1.131706227,0.151,0.095,-0.027,29.324,0.579,2
St Margarets CofE Primary School,101233,Barking and Dagenham,E01000010,Barking and Dagenham 015C,0.075507302,51.53664047,Primary,NA,NA,Mixed,NA,459,230,230,1,21,NA,0.1,0.68,NA,NA,NA,0.169,0.073,1.214,11.762,-0.002,2
William Ford CofE Primary School,101234,Barking and Dagenham,E01000085,Barking and Dagenham 013E,0.152608279,51.53871324,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,352,185,170,1.1,22.5,0.325,0.145,0.87,0.0570135,0.0189925,1.063621814,0.189,0.124,1.036,36.259,-0.227,1
St Joseph's Catholic Primary School,101235,Barking and Dagenham,E01000010,Barking and Dagenham 015C,0.077038517,51.53448207,Primary,NA,NA,Mixed,NA,359,165,190,0.9,29.3,NA,0.133,0.59,NA,NA,NA,0.169,0.073,1.214,11.762,-0.002,3
St Joseph's Catholic Primary School,101236,Barking and Dagenham,E01000065,Barking and Dagenham 007A,0.143933938,51.55237048,Primary,NA,NA,Mixed,NA,391,190,205,0.9,15,NA,0.098,0.67,NA,NA,NA,0.228,0.173,0.324,26.185,0.817,2
St Peter's Catholic Primary School,101237,Barking and Dagenham,E01000053,Barking and Dagenham 020A,0.144428492,51.53189341,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,452,230,225,1,20.2,0.539,0.091,0.75,0.0442339,0.0096939,1.548413308,0.229,0.126,1.217,27.703,0.701,2
The St Teresa Catholic Primary School,101238,Barking and Dagenham,E01000077,Barking and Dagenham 008F,0.124702293,51.55013907,Primary,NA,NA,Mixed,NA,222,105,115,0.9,20.9,NA,0.138,0.73,NA,NA,NA,0.251,0.159,0.487,33.494,0.725,1
St Vincent's Catholic Primary School,101239,Barking and Dagenham,E01000019,Barking and Dagenham 023A,0.122196319,51.55983368,Primary,NA,NA,Mixed,NA,232,125,105,1.2,21.6,NA,0.091,0.55,NA,NA,NA,0.194,0.138,0.645,26.111,0.477,2
"Barking Abbey School, A Specialist Sports and Humanities College",101241,Barking and Dagenham,E01000069,Barking and Dagenham 011C,0.101523284,51.5426431,Secondary,Community school,Non-selective,Mixed,No religious character,1950,995,955,1,14.8,0.278,0.145,0.61,0.070761,0.0133241,1.260648949,0.087,0.07,0.032,16.481,-0.626,2
Eastbrook School,101243,Barking and Dagenham,E01000035,Barking and Dagenham 010A,0.163726241,51.55147675,Secondary,Community school,Non-selective,Mixed,No religious character,892,440,450,1,13.4,0.385,0.303,0.41,0.1068544,0.0470395,2.730500883,0.15,0.092,0.242,25.536,0.397,3
Robert Clack School,101245,Barking and Dagenham,E01000114,Barking and Dagenham 004E,0.145646895,51.56179971,Secondary,Community school,Non-selective,Mixed,No religious character,1812,940,875,1.1,12.9,0.263,0.22,0.64,0.077329,0.0294901,1.404373467,0.119,0.074,0.423,19.124,-0.117,2
All Saints Catholic School and Technology College,101247,Barking and Dagenham,E01000061,Barking and Dagenham 006C,0.151317346,51.56272117,Secondary,Voluntary aided school,Non-selective,Mixed,Roman Catholic,1168,625,540,1.2,14.5,0.607,0.118,0.56,0.0354475,0.0095,2.928927268,0.303,0.186,0.145,39.776,1.013,2
Barnfield Primary School,101258,Barnet,E01000128,Barnet 024C,-0.264620803,51.60074239,Primary,Community school,Not applicable,Mixed,No religious character,540,290,250,1.2,18.2,0.798,0.403,0.82,0.0589491,0.0205266,1.030918944,0.171,0.103,0.957,22.529,-0.346,1
Bell Lane Primary School,101259,Barnet,E01000238,Barnet 034B,-0.216173878,51.58749943,Primary,Community school,Not applicable,Mixed,No religious character,450,240,210,1.1,19,0.688,0.306,0.58,0.0744081,0.030211,1.481589902,0.096,0.074,-0.19,4.747,-1.429,2
Brookland Junior School,101262,Barnet,E01000205,Barnet 035A,-0.188334879,51.59023796,Primary,Community school,Not applicable,Mixed,No religious character,360,205,155,1.3,21.2,0.585,0.097,0.87,0.0455629,0.0106675,3.285464443,0.053,0.035,0.215,1.073,-1.993,1
Brookland Infant and Nursery School,101263,Barnet,E01000205,Barnet 035A,-0.188334879,51.59023796,Primary,Community school,Not applicable,Mixed,No religious character,322,150,170,0.9,18.5,0.507,0.126,NA,0.0524231,0.0057726,NA,0.053,0.035,0.215,1.073,-1.993,1
Brunswick Park Primary and Nursery School,101264,Barnet,E01000118,Barnet 010B,-0.148118754,51.63023766,Primary,Community school,Not applicable,Mixed,No religious character,360,190,170,1.1,17.8,0.574,0.158,0.86,0.0451555,0.0081641,1.2043483,0.077,0.059,-0.206,8.59,-1.679,2
Childs Hill School,101265,Barnet,E01000138,Barnet 040A,-0.206878032,51.56220556,Primary,NA,NA,Mixed,NA,368,200,170,1.2,16.9,NA,0.293,0.69,NA,NA,NA,0.178,0.127,1.066,8.449,-0.547,2
Church Hill School,101266,Barnet,E01000117,Barnet 010A,-0.159242875,51.63527749,Primary,Community school,Not applicable,Mixed,No religious character,232,110,120,0.9,21.3,0.358,0.086,0.93,0.0413493,0.0039771,1.18197376,0.071,0.062,-0.168,6.077,-1.141,2
Colindale Primary School,101269,Barnet,E01000147,Barnet 030A,-0.247046753,51.58874674,Primary,Community school,Not applicable,Mixed,No religious character,715,360,355,1,21,0.815,0.157,0.72,0.0532778,0.0082732,1.159169942,0.078,0.04,0.336,9.893,-1.99,2
Coppetts Wood Primary School,101270,Barnet,E01000164,Barnet 022D,-0.151951226,51.60278142,Primary,Community school,Not applicable,Mixed,No religious character,293,165,130,1.3,16.5,0.644,0.219,0.73,0.053408,0.0038218,1.29011236,0.172,0.107,0.841,11.909,-0.666,1
Courtland School,101271,Barnet,E01000228,Barnet 007A,-0.252526792,51.62729698,Primary,Community school,Not applicable,Mixed,No religious character,213,110,105,1,20.1,0.512,0.117,0.9,0.0373204,0.0025348,0.964682375,0.079,0.055,0.618,5.053,-1.232,1
Cromer Road Primary School,101272,Barnet,E01000247,Barnet 002C,-0.178465763,51.65322935,Primary,Community school,Not applicable,Mixed,No religious character,416,235,185,1.3,20.4,0.395,0.192,0.71,0.0481688,0.006504,1.598157097,0.077,0.066,-0.555,2.68,-1.249,2
Deansbrook Infant School,101274,Barnet,E01000233,Barnet 013F,-0.260742613,51.61307626,Primary,Community school,Not applicable,Mixed,No religious character,361,180,180,1,20.5,0.716,0.258,NA,0.0641801,0.0236306,NA,0.069,0.054,-0.162,4.009,-1.829,2
Dollis Infant School,101275,Barnet,E01000255,Barnet 017A,-0.224364714,51.60845888,Primary,Community school,Not applicable,Mixed,No religious character,310,160,150,1.1,21.5,0.868,0.225,NA,0.0687952,0.0136906,NA,0.149,0.097,0.195,6.712,-1.007,2
Edgware Primary School,101277,Barnet,E01000194,Barnet 018C,-0.27528492,51.61008936,Primary,Community school,Not applicable,Mixed,No religious character,666,325,340,1,20.2,0.899,0.191,0.38,0.0545367,0.0078089,1.108854217,0.114,0.078,0.884,5.706,-1.007,2
Fairway Primary School and Children's Centre,101278,Barnet,E01000228,Barnet 007A,-0.256946585,51.62733568,Primary,Community school,Not applicable,Mixed,No religious character,281,145,140,1,19.3,0.814,0.194,0.77,0.0672604,0.0084134,1.614009745,0.079,0.055,0.618,5.053,-1.232,2
Foulds School,101279,Barnet,E01000249,Barnet 001B,-0.210152829,51.65657627,Primary,Community school,Not applicable,Mixed,No religious character,315,175,140,1.3,21.2,0.462,0.013,0.77,0.0399372,0.0021664,0.795935561,0.026,0.044,0.087,1.17,-1.947,1
Frith Manor Primary School,101280,Barnet,E01000262,Barnet 017D,-0.201995536,51.61499728,Primary,Community school,Not applicable,Mixed,No religious character,669,345,325,1.1,21.9,0.628,0.07,0.79,0.0525096,0.0055463,2.414860246,0.094,0.046,-0.404,7.639,-1.535,2
Garden Suburb Junior School,101281,Barnet,E01000211,Barnet 035C,-0.197496627,51.58490272,Primary,Community school,Not applicable,Mixed,No religious character,354,180,170,1.1,17.5,0.726,0.079,0.82,0.0450843,0.0053652,1.74434009,0.112,0.072,-0.369,3.225,-0.835,2
Garden Suburb Infant School,101282,Barnet,E01000211,Barnet 035C,-0.197496627,51.58490272,Primary,Community school,Not applicable,Mixed,No religious character,260,125,135,0.9,19.8,0.833,0.088,NA,0.0616812,0.0052255,NA,0.112,0.072,-0.369,3.225,-0.835,2
Goldbeaters Primary School,101283,Barnet,E01000130,Barnet 021A,-0.257200866,51.60408564,Primary,Community school,Not applicable,Mixed,No religious character,461,240,220,1.1,23.1,0.672,0.416,0.78,0.0422953,0.0078383,0.901309827,0.185,0.118,0.839,19.118,-0.331,2
Hollickwood Primary School,101285,Barnet,E01000163,Barnet 022C,-0.144019575,51.60500329,Primary,Foundation school,Not applicable,Mixed,No religious character,251,125,125,1,18.1,0.639,0.224,0.73,0.0547755,0.0095875,1.083893184,0.2,0.145,0.26,13.328,0.036,3
Holly Park Primary School,101286,Barnet,E01000158,Barnet 015A,-0.151027971,51.61697484,Primary,Community school,Not applicable,Mixed,No religious character,546,270,275,1,21.6,0.505,0.158,0.75,0.0498391,0.0063916,0.984087899,0.13,0.087,0.561,10.783,-0.598,1
Livingstone Primary and Nursery School,101289,Barnet,E01000167,Barnet 002A,-0.166605861,51.65551767,Primary,Community school,Not applicable,Mixed,No religious character,295,180,115,1.6,15.4,0.414,0.266,0.88,0.0434043,0.0068498,1.685712496,0.199,0.125,0.516,22.649,0.166,2
Manorside Primary School,101290,Barnet,E01000297,Barnet 027D,-0.181012571,51.60078969,Primary,Community school,Not applicable,Mixed,No religious character,320,160,160,1,19.4,0.782,0.14,0.9,0.0493769,0.007374,1.145477414,0.074,0.044,-0.395,7.204,-1.322,1
Monkfrith Primary School,101293,Barnet,E01000115,Barnet 009A,-0.146321277,51.63675572,Primary,Community school,Not applicable,Mixed,No religious character,273,130,145,0.9,23,0.379,0.077,0.79,0.0418226,0.0026698,0.778546982,0.055,0.046,-0.545,3.734,-1.526,1
Moss Hall Junior School,101294,Barnet,E01000302,Barnet 019C,-0.185803745,51.60991919,Primary,Community school,Not applicable,Mixed,No religious character,385,205,180,1.1,21.2,0.658,0.06,0.73,0.0415926,0.0039798,1.10825458,0.129,0.086,-0.287,6.762,-0.724,2
Moss Hall Infant School,101295,Barnet,E01000302,Barnet 019C,-0.185803745,51.60991919,Primary,Community school,Not applicable,Mixed,No religious character,361,185,175,1.1,21.6,0.722,0.136,NA,0.0463407,0.0058626,NA,0.129,0.086,-0.287,6.762,-0.724,1
Northside Primary School,101296,Barnet,E01000299,Barnet 019A,-0.17934891,51.61603284,Primary,Community school,Not applicable,Mixed,No religious character,289,170,120,1.4,18.5,0.593,0.126,0.85,0.0392654,0.0047272,0.818745343,0.119,0.06,0.409,2.994,-0.639,1
Summerside Primary School,101297,Barnet,E01000315,Barnet 022F,-0.168318281,51.60944964,Primary,NA,NA,Mixed,NA,499,255,245,1,19.1,NA,0.219,0.51,NA,NA,NA,0.239,0.163,0.821,23.302,-0.325,2
Woodridge Primary School,101298,Barnet,E01000283,Barnet 012C,-0.193682029,51.62393373,Primary,Community school,Not applicable,Mixed,No religious character,240,125,115,1.1,18.3,0.335,0.063,0.76,0.0459282,0.0097031,1.226737615,0.03,0.019,-0.928,0.596,-2.208,2
Tudor Primary School,101299,Barnet,E01000319,Barnet 027F,-0.177536936,51.60032208,Primary,Community school,Not applicable,Mixed,No religious character,242,140,100,1.4,17.5,0.863,0.212,0.79,0.0504373,0.0160058,1.086155375,0.076,0.046,0.193,1.877,-1.324,3
Underhill School,101301,Barnet,E01000291,Barnet 004E,-0.205417618,51.64541641,Primary,Community school,Not applicable,Mixed,No religious character,507,255,255,1,18.1,0.598,0.238,0.52,0.0705632,0.0250562,1.673650282,0.23,0.166,0.721,25.657,-0.267,3
Whitings Hill Primary School,101304,Barnet,E01000287,Barnet 004B,-0.218162313,51.64551162,Primary,Community school,Not applicable,Mixed,No religious character,478,245,235,1,19.7,0.311,0.245,0.68,0.0570675,0.0127525,1.239860545,0.16,0.104,0.314,21.677,-0.404,1
Chalgrove Primary School,101309,Barnet,E01000201,Barnet 028C,-0.206665652,51.5917787,Primary,Community school,Not applicable,Mixed,No religious character,218,115,100,1.2,15.4,0.683,0.161,0.78,0.0506768,0.0141188,2.666948149,0.041,0.034,-0.066,0.774,-1.855,2
Sunnyfields Primary School,101311,Barnet,E01000239,Barnet 031A,-0.231710558,51.59110676,Primary,Community school,Non-selective,Mixed,No religious character,256,130,130,1,18.3,0.795,0.376,0.66,0.0443363,0.0041523,0.996223188,0.137,0.077,-0.006,6.545,-0.872,2
Queenswell Infant & Nursery School,101312,Barnet,E01000281,Barnet 008D,-0.17006379,51.62709281,Primary,Community school,Not applicable,Mixed,No religious character,357,175,180,1,21,0.653,0.179,NA,0.0752244,0.0225494,NA,0.081,0.059,-0.177,6.189,-0.996,2
Queenswell Junior School,101313,Barnet,E01000281,Barnet 008D,-0.17006379,51.62709281,Primary,Community school,Not applicable,Mixed,No religious character,332,185,150,1.2,22.6,0.642,0.217,0.74,0.0596219,0.0142605,2.041263529,0.081,0.059,-0.177,6.189,-0.996,2
Danegrove Primary School,101314,Barnet,E01000173,Barnet 006C,-0.158689469,51.64358673,Primary,Community school,Not applicable,Mixed,No religious character,651,360,290,1.2,22,0.455,0.134,0.9,0.0656765,0.0194304,1.137080522,0.081,0.05,-0.085,5.844,-1.13,2
All Saints' CofE Primary School NW2,101315,Barnet,E01000139,Barnet 041B,-0.199927093,51.56212608,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,209,100,105,1,17.2,0.558,0.249,0.66,0.0633607,0.025894,1.252305146,0.082,0.041,0.61,4.481,-1.326,2
Christ Church Primary School,101316,Barnet,E01000249,Barnet 001B,-0.212000276,51.65886151,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,223,115,110,1,21.1,0.507,0.036,0.96,0.0452247,0.0007161,3.170646691,0.026,0.044,0.087,1.17,-1.947,2
Holy Trinity CofE Primary School,101317,Barnet,E01000180,Barnet 029C,-0.168361935,51.59114169,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,267,125,140,0.9,18.2,0.482,0.153,0.96,0.0503326,0.0141718,0.997652726,0.13,0.073,-0.257,4.839,-1.044,1
Monken Hadley CofE Primary School,101318,Barnet,E01000254,Barnet 001D,-0.190730203,51.66290599,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,147,85,65,1.3,17.5,0.281,0.041,0.95,0.0395371,0.0025146,1.935291275,0.04,0.028,-0.121,2.182,-1.332,2
St John's CofE Junior Mixed and Infant School,101319,Barnet,E01000159,Barnet 015B,-0.155715004,51.6168058,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,246,115,130,0.9,18.4,0.481,0.054,0.72,0.0510786,0.0038331,0.943945087,0.112,0.077,0.561,4.883,-1.287,1
St John's CofE Primary School,101321,Barnet,E01000284,Barnet 012D,-0.177028877,51.62670662,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,244,130,110,1.2,18.5,0.344,0.062,0.86,0.0333446,0.0052721,1.506874657,0.136,0.083,-0.094,5.239,-0.698,2
St Mary's CofE Primary School,101323,Barnet,E01000204,Barnet 025C,-0.20010717,51.60357514,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,477,235,240,1,24.8,0.68,0.031,0.79,0.0512392,0.0099225,1.232873842,0.068,0.046,0.3,3.121,-1.795,1
"St Mary's CofE Primary School, East Barnet",101324,Barnet,E01000174,Barnet 006D,-0.161467106,51.64102248,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,216,105,110,1,18.3,0.237,0.051,0.77,0.043436,0.005584,1.007358249,0.128,0.069,-0.248,8.05,-0.672,1
St Paul's CofE Primary School N11,101325,Barnet,E01000124,Barnet 010E,-0.14421121,51.6162378,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,232,125,105,1.2,20.6,0.736,0.142,0.83,0.0628524,0.0067039,1.27788416,0.166,0.128,0.491,14.674,-0.593,2
St Paul's CofE Primary School NW7,101326,Barnet,E01000261,Barnet 017C,-0.231390036,51.62056052,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,212,95,120,0.8,21.7,0.385,0.009,0.67,0.0383476,0.005172,1.461159958,0.046,0.029,-0.944,1.12,-1.964,2
"St Andrew's CofE Voluntary Aided Primary School, Totteridge",101327,Barnet,E01000279,Barnet 007C,-0.196388643,51.63000016,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,204,105,95,1.1,23.7,0.256,0.015,0.97,0.0418702,0.0047493,2.07303624,0.017,0.017,0.538,1.781,-2.378,2
Trent CofE Primary School,101328,Barnet,E01000168,Barnet 003B,-0.152711935,51.65090257,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,209,100,110,0.9,25,0.529,0.077,0.97,0.0368986,0.00188,3.577797176,0.05,0.035,-0.095,3.41,-1.486,2
All Saints' CofE Primary School N20,101329,Barnet,E01000273,Barnet 008C,-0.16773267,51.62900778,Primary,Voluntary aided school,Not applicable,Mixed,Church of England,274,150,125,1.2,20.7,0.427,0.092,0.66,0.0434967,0.0015399,1.444267407,0.121,0.083,-0.127,3.636,-0.964,2
The Annunciation Catholic Infant School,101330,Barnet,E01000129,Barnet 024D,-0.260139217,51.60277134,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,219,110,110,1,16.8,0.747,0.061,NA,0.0707692,0.0104315,NA,0.214,0.11,1.004,23.973,-0.148,1
Our Lady of Lourdes RC School,101331,Barnet,E01000316,Barnet 027E,-0.175947652,51.60322889,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,243,130,115,1.1,20.3,0.438,0.09,0.6,0.0443348,0.0149204,1.696523156,0.138,0.079,0.761,3.672,-1.038,1
St Agnes RC School,101332,Barnet,E01000142,Barnet 040B,-0.21077346,51.56036761,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,357,180,180,1,19,0.651,0.086,0.71,0.0408431,0.0062393,0.994928752,0.126,0.077,-0.373,8.856,-0.676,2
St Catherine's RC School,101333,Barnet,E01000288,Barnet 004C,-0.193677374,51.64877933,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,483,260,220,1.2,20,0.45,0.073,0.82,0.0322495,0.0143737,1.314249162,0.091,0.065,0.101,8.012,-1.187,1
St Vincent's Catholic Primary School,101334,Barnet,E01000255,Barnet 017A,-0.223391271,51.61785898,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,324,140,185,0.8,21.2,0.335,0.068,0.75,0.0368304,0.0022672,2.619747079,0.149,0.097,0.195,6.712,-1.007,1
St Theresa's Catholic Primary School,101335,Barnet,E01000203,Barnet 028E,-0.188414601,51.59476241,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,237,120,115,1,22.9,0.512,0.055,0.71,0.0424445,0.0132333,1.37951598,0.114,0.072,-0.564,5.763,-1.173,2
St Joseph's Catholic Primary School,101337,Barnet,E01000237,Barnet 032A,-0.231382086,51.58729802,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,489,235,250,0.9,18.5,0.556,0.059,0.79,0.0637903,0.0121636,1.732438006,0.055,0.036,0.266,1.569,-1.722,1
Sacred Heart Roman Catholic Primary School,101338,Barnet,E01000272,Barnet 008B,-0.163182703,51.63040241,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,420,220,200,1.1,18.3,0.16,0.069,0.92,0.0431985,0.0029308,1.583284261,0.03,0.016,-0.007,1.163,-1.587,2
Blessed Dominic Catholic Primary School,101339,Barnet,E01000154,Barnet 026E,-0.246126614,51.59990148,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,363,180,180,1,22.5,0.84,0.209,0.66,0.0414296,0.0086288,1.038418841,0.201,0.141,0.827,22.212,0.007,2
Rosh Pinah Primary School,101340,Barnet,E01000187,Barnet 014B,-0.270597727,51.62702496,Primary,Voluntary aided school,Not applicable,Mixed,Jewish,486,260,230,1.1,20.8,0.016,0.037,0.84,0.0388261,0.0024027,2.26576128,0.118,0.063,-0.561,7.661,-0.599,4
Menorah Primary School,101341,Barnet,E01000220,Barnet 037E,-0.206971695,51.57449079,Primary,Voluntary aided school,Not applicable,Mixed,Jewish,451,215,235,0.9,16.9,0.275,0.016,0.98,0.0406006,0.003968,1.41340222,0.117,0.092,-0.403,7.734,-0.48,1
The Annunciation RC Junior School,101342,Barnet,E01000235,Barnet 021E,-0.258046168,51.61182241,Primary,Voluntary aided school,Not applicable,Mixed,Roman Catholic,227,115,110,1,21.4,0.694,0.101,0.87,0.0424419,0.016474,1.358027691,0.164,0.101,0.481,18.521,-0.622,3
Friern Barnet School,101345,Barnet,E01000158,Barnet 015A,-0.154738045,51.61596314,Secondary,Community school,Non-selective,Mixed,No religious character,795,410,385,1.1,15.4,0.472,0.195,0.5,0.0870134,0.0314541,2.953125713,0.13,0.087,0.561,10.783,-0.598,2
Dollis Junior School,101355,Barnet,E01000255,Barnet 017A,-0.224364714,51.60845888,Primary,NA,NA,Mixed,NA,344,175,170,1,22.9,NA,0.247,0.61,NA,NA,NA,0.149,0.097,0.195,6.712,-1.007,2
Osidge Primary School,101356,Barnet,E01000115,Barnet 009A,-0.134931656,51.63398551,Primary,Foundation school,Not applicable,Mixed,No religious character,453,230,225,1,20.5,0.712,0.114,0.75,0.0539366,0.0090865,0.907238241,0.055,0.046,-0.545,3.734,-1.526,2
St Mary's CofE High School,101360,Barnet,E01000243,Barnet 032C,-0.223416359,51.59241129,Secondary,NA,NA,Mixed,NA,179,105,75,1.4,10.1,NA,0.394,0.51,NA,NA,NA,0.084,0.053,0.105,4.629,-0.996,3
St Michael's Catholic Grammar School,101361,Barnet,E01000300,Barnet 019B,-0.180731885,51.61431879,Secondary,Voluntary aided school,Selective,Girls,Roman Catholic,754,50,705,0.1,14.5,0.218,0.021,1,0.0470928,0.0017562,6.689799578,0.097,0.059,-0.181,3.089,-0.681,1
Finchley Catholic High School,101362,Barnet,E01000284,Barnet 012D,-0.180911285,51.62283724,Secondary,Voluntary aided school,Non-selective,Boys,Roman Catholic,1154,1085,70,15.5,15.5,0.183,0.086,0.83,0.0610852,0.0061007,3.970317528,0.136,0.083,-0.094,5.239,-0.698,2
St James' Catholic High School,101364,Barnet,E01000151,Barnet 026B,-0.240908277,51.60079468,Secondary,Voluntary aided school,Non-selective,Mixed,Roman Catholic,1086,555,530,1,16,0.636,0.112,0.76,0.0826439,0.0277582,3.014063691,0.332,0.191,0.085,18.815,-0.203,2
Bishop Douglass School Finchley,101365,Barnet,E01000179,Barnet 029B,-0.178409316,51.59404089,Secondary,NA,NA,Mixed,NA,754,380,375,1,13.2,NA,0.24,0.62,NA,NA,NA,0.064,0.036,-0.087,2.024,-0.712,2
Mathilda Marks-Kennedy Jewish Primary School,101376,Barnet,E01000234,Barnet 021D,-0.254867403,51.61562391,Primary,Voluntary aided school,Not applicable,Mixed,Jewish,225,100,125,0.8,16.9,0.128,0.04,0.86,0.0314481,0.0040555,1.002621312,0.067,0.047,-0.259,3.867,-1.185,1
Crook Log Primary School,101402,Bexley,E01000389,Bexley 020E,0.126566999,51.45799982,Primary,Community school,Not applicable,Mixed,No religious character,422,220,205,1.1,20.3,0.283,0.158,0.66,0.0519419,0.0104278,1.531970085,0.082,0.057,0.066,11.196,-1.107,2
Danson Primary School,101403,Bexley,E01000388,Bexley 016A,0.106641892,51.45732542,Primary,Community school,Not applicable,Mixed,No religious character,550,305,245,1.2,26.4,0.435,0.079,0.9,0.0396339,0.0096264,1.504646227,0.07,0.056,0.288,13.402,-0.924,2
Eastcote Primary School,101404,Bexley,E01000395,Bexley 018B,0.08354446,51.46379044,Primary,NA,NA,Mixed,NA,233,110,120,0.9,23,NA,0.091,0.87,NA,NA,NA,0.031,0.03,-0.92,9.871,-0.966,2
Gravel Hill Primary School,101407,Bexley,E01000329,Bexley 017C,0.15420354,51.45429367,Primary,NA,NA,Mixed,NA,334,160,175,0.9,20.5,NA,0.191,0.8,NA,NA,NA,0.097,0.075,0.401,20.584,-0.916,2
Hook Lane Primary School,101409,Bexley,E01000414,Bexley 016E,0.102702416,51.46181168,Primary,NA,NA,Mixed,NA,453,235,220,1.1,21.4,NA,0.071,0.8,NA,NA,NA,0.092,0.052,0.472,12.568,-0.966,2
Upton Primary School,101413,Bexley,E01000363,Bexley 020D,0.135031882,51.44938354,Primary,Community school,Not applicable,Mixed,No religious character,479,245,230,1.1,19.9,0.098,0.112,0.68,0.0439568,0.0100501,1.458810122,0.057,0.054,-0.454,9.685,-0.759,2
Bedonwell Junior School,101420,Bexley,E01000420,Bexley 006D,0.134099553,51.47935615,Primary,NA,NA,Mixed,NA,480,245,235,1,24.7,NA,0.09,0.67,NA,NA,NA,0.073,0.061,-0.463,22.13,-0.76,2
Bedonwell Infant and Nursery School,101421,Bexley,E01000420,Bexley 006D,0.134099553,51.47935615,Primary,NA,NA,Mixed,NA,464,220,240,0.9,21,NA,0.136,NA,NA,NA,NA,0.073,0.061,-0.463,22.13,-0.76,1
