school_name,urn,borough,lsoa_code,lsoa_name,lon,lat,primary_secondary,school_type,admissions_type,gender,denomination,num_pupils,num_boys,num_girls,boy_girl_r,pupils_per_teacher,pct_esl,pct_fsm,pct_attainment,pct_absences,pct_unaut_absence,mean_distance,income_score,employment_score,crime_score,education_skills_score,health_score,ofsted
Whiteheath Junior School,102400,Hillingdon,E01002533,Hillingdon 005A,-0.439142457,51.58040597,Primary,Community school,Not applicable,Mixed,No religious character,355,175,180,1,21.4,0.21,0.073,0.85,0.0448078,0.0067825,1.864527025,0.118,0.09,-0.112,18.626,-0.286,2
William Byrd School,102401,Hillingdon,E01002448,Hillingdon 032B,-0.438151776,51.4897058,Primary,NA,NA,Mixed,NA,634,310,325,1,20.8,NA,0.136,0.45,NA,NA,NA,0.095,0.052,0.662,16.65,-0.487,3
Yeading Junior School,102403,Hillingdon,E01002396,Hillingdon 026A,-0.39871734,51.52245436,Primary,Community school,Not applicable,Mixed,No religious character,496,255,240,1.1,26.9,0.869,0.204,0.68,0.0619578,0.0240216,0.924832111,0.194,0.103,0.879,18.682,0.13,2
Yeading Infant and Nursery School,102404,Hillingdon,E01002396,Hillingdon 026A,-0.398548026,51.52193949,Primary,Community school,Not applicable,Mixed,No religious character,480,235,245,1,25.5,0.815,0.217,NA,0.0584999,0.014634,NA,0.194,0.103,0.879,18.682,0.13,2
Hermitage Primary School,102405,Hillingdon,E01002512,Hillingdon 013C,-0.473937196,51.54945403,Primary,NA,NA,Mixed,NA,315,150,165,0.9,21.5,NA,0.115,0.8,NA,NA,NA,0.049,0.034,0.052,1.597,-1.176,2
Highfield Primary School,102407,Hillingdon,E01002457,Hillingdon 019E,-0.445138021,51.53457102,Primary,Community school,Not applicable,Mixed,No religious character,347,170,180,0.9,21,0.426,0.12,0.75,0.0655996,0.0256348,1.189738139,0.169,0.111,0.865,23.665,0.228,2
Rabbsfarm Primary School,102408,Hillingdon,E01002552,Hillingdon 025D,-0.473346218,51.51669665,Primary,Community school,Not applicable,Mixed,No religious character,512,260,255,1,18.8,0.614,0.3,0.68,0.0654349,0.026532,1.005236088,0.153,0.094,1.776,38.148,-0.17,3
Warrender Primary School,102409,Hillingdon,E01002435,Hillingdon 007C,-0.41448305,51.57732374,Primary,Community school,Not applicable,Mixed,No religious character,250,145,105,1.4,25.2,0.178,0.033,0.9,0.0423762,0.006349,0.789271579,0.028,0.035,-0.658,2.863,-0.936,2
Whitehall Infant School,102411,Hillingdon,E01002523,Hillingdon 016D,-0.481420717,51.53955181,Primary,Community school,Not applicable,Mixed,No religious character,418,225,195,1.2,23.7,0.515,0.154,NA,0.0585582,0.0132178,NA,0.085,0.055,0.442,11.394,-0.242,2
Whiteheath Infant and Nursery School,102413,Hillingdon,E01002533,Hillingdon 005A,-0.441035916,51.58116852,Primary,Community school,Not applicable,Mixed,No religious character,345,165,180,0.9,19.3,0.187,0.052,NA,0.0527854,0.009222,NA,0.118,0.09,-0.112,18.626,-0.286,1
Frithwood Primary School,102414,Hillingdon,E01002477,Hillingdon 001D,-0.416906165,51.61347938,Primary,Community school,Not applicable,Mixed,No religious character,454,215,240,0.9,20.6,0.332,0.097,0.8,0.051229,0.0050866,1.621313996,0.083,0.063,-0.499,2.749,-0.317,2
Ruislip Gardens Primary School,102416,Hillingdon,E01002494,Hillingdon 009C,-0.420292643,51.56169247,Primary,Community school,Not applicable,Mixed,No religious character,440,215,225,1,19.9,0.395,0.162,0.76,0.0541937,0.0098338,1.522888543,0.085,0.057,-0.611,9.06,-0.517,2
